SMILES,CLUSTER
CC(=NN=C(N)S)c1ccc(Cl)c(Cl)c1,1.1.3
S=C(Nc1cccc(Cl)c1)N1CCC(c2cccc(Br)c2)=N1,1.4
NC(S)=NN=Cc1cccn1S(=O)(=O)c1ccccc1,1.1.1
CCC(=NN=C(N)S)c1ccc(Cl)c(Cl)c1,1.1.3
CC1CN(C(=N)S)N=C1c1cccc(Cl)c1,1.2
N=C(S)N1CCC(c2cccc(C(F)(F)F)c2)=N1,1.2
N=C(S)NN=Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,1.1.1
CC(=NN=C(N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1.1.1
COc1ccccc1-c1ccc(C=NN=C(N)S)o1,1.1.1
NC(S)=NN=Cc1cccc(Br)c1,1.1.1
FC(F)(F)c1cccc(NC(=S)N2CCC(c3cccc(Cl)c3)=N2)c1,1.4
CC(=NN=C(N)S)c1ccccc1Br,1.1.1
NC(S)=NN=Cc1ccc(-c2cccc(Cl)c2)o1,1.1.4
CC(=NN=C(N)S)c1ccc(Br)s1,1.1.1
NC(S)=NN=Cc1ccc(-c2ccc(Br)cc2)o1,1.1.1
CC(=NN=C(N)S)c1cccc(Br)c1,1.1.1
CC(=NN=C(N)S)c1cccc(C(F)(F)F)c1,1.1.1
NC(=S)N1CCC(c2cccc(Br)c2)=N1,1.4
CC1CN(C(=N)S)N=C1c1ccc(Cl)c(Cl)c1,1.2
NC(S)=NN=Cc1ccc(-c2ccc(Cl)cc2)o1,1.1.4
Cn1c(C=NN=C(N)S)cc2ccccc21,2.0
CCC(=NN=C(N)S)c1cccc(C(F)(F)F)c1,1.1.1
CC1CN(C(=N)S)N=C1c1cccc(Br)c1,1.2
CCCCCCN=C(S)N1CCC(c2cccc(Br)c2)=N1,1.2
COc1ccc2ccccc2c1C=NN=C(N)S,1.1.1
NC(=S)N1CCC(c2ccc(Cl)c(Cl)c2)=N1,1.4
CC(=NN=C(N)S)c1ccc(Cl)s1,1.1.4
N=C(S)NN=Cc1cccc(C(F)(F)F)c1,1.1.1
NC(S)=NN=Cc1cc(Cl)cc(Cl)c1,1.1.3
CC1CN(C(=N)S)N=C1c1cccc(C(F)(F)F)c1,1.2
NC(S)=NN=Cc1ccc(Cl)c(Cl)c1,1.1.3
CCC(=NN=C(N)S)c1cccc(Br)c1,1.1.1
CCC(=NN=C(N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1.1.1
NC(=S)N1CCC(c2cccc(Cl)c2)=N1,1.4
CCC(=NN=C(N)S)c1cccc(Cl)c1,1.1.4
NC(=S)N=Nc1c(O)[nH]c2ccccc12,2.0
NC(=S)N=Nc1c(O)[nH]c2ccc(I)cc12,2.0
CCCCC(=NNC(N)=S)c1ccc(Cl)c(Cl)c1,1.3
NC(S)=NN=C(c1ccc(Cl)c(Cl)c1)C1CCCCC1,3.0
