SMILES,CLUSTER
CC(=NNC(N)=O)c1cccc(Cl)c1,1.1.3
CCC(=NN=C(S)NC)c1cccc(Br)c1,1.1.1
CCC(NN=C(N)S)c1cccc(Br)c1,1.1.1
CCC(=NNC(N)=O)c1cccc(C(F)(F)F)c1,1.1.1
CCC(=NN=C(N)S)c1ccccc1,1.1.1
CCC(=NN=C(S)NCCN1CCNCC1)c1cccc(Br)c1,1.1.1
FC(F)(F)c1ccc(NC(=S)N2CCC(c3cccc(Br)c3)=N2)cc1,3.0
CCC(=NN=C(S)Nc1ccccc1)c1cccc(Br)c1,1.1.1
CCC(=NNC(N)=O)c1cccc(Br)c1,1.1.1
CCC(=NN=C(N)S)c1ccc2cc(OC)ccc2c1,1.1.1
S=C(NCCN1CCOCC1)N1CCC(c2cccc(Br)c2)=N1,3.0
S=C(NCc1ccco1)N1CCC(c2cccc(Br)c2)=N1,3.0
CC(=NNC(N)=O)c1cccc(Br)c1,1.1.1
CCC(=NNC(N)=O)c1cccc(Cl)c1,1.1.3
NC(=O)NN=Cc1ccc(-c2cccc(Cl)c2)o1,1.1.5
N=C(S)NN=Cc1ccccc1C(F)(F)F,1.1.1
NC(=O)NN=Cc1ccc(-c2ccc(Cl)cc2)o1,1.1.5
COc1cccc(C(C)=NN=C(N)S)c1,1.1.1
CCC(=NN=C(N)S)c1ccc(OC)cc1,1.1.1
CCN=C(S)N1CCC(c2cccc(Br)c2)=N1,1.2
CC(=NNC(N)=O)c1ccc(Cl)c(Cl)c1,1.1.4
S=C(Nc1ccccc1)N1CCC(c2cccc(Br)c2)=N1,3.0
CC(=NN=C(N)S)c1ccccc1Cl,1.1.3
CCC(=NN=C(S)NC(C)C)c1cccc(Br)c1,1.1.1
CC(C)N=C(S)N1CCC(c2cccc(Br)c2)=N1,1.2
NC(=O)NN=Cc1ccc(-c2ccc(Br)cc2)o1,1.1.2
CCN=C(S)NN=C(CC)c1cccc(Br)c1,1.1.1
CCC(=NNC(N)=O)c1ccc(Cl)c(Cl)c1,1.1.4
COc1ccc(C=NNC(N)=S)cc1O,3.0
CC(=NNC(N)=O)c1cccc(C(F)(F)F)c1,1.1.1
CCC(=NN=C(S)NCc1ccco1)c1cccc(Br)c1,1.1.2
NC(S)=NN=Cc1cc(C#Cc2ccccc2)cs1,1.1.1
CCC(=NN=C(N)S)c1ccc(Br)cc1,1.1.1
CCC(=NN=C(N)S)c1ccc(Cl)cc1,1.1.3
CCC(=NN=C(N)S)c1ccc(Cl)cc1Cl,1.1.4
CC(=NN=C(N)S)c1ccc(N2CCOCC2)cc1,1.1.1
CN(C)c1ccc(C=NN=C(N)S)c2ccccc12,1.1.1
CCC(=NNC(N)=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1.1.1
CCC(=NN=C(N)S)c1cccc(F)c1,1.1.1
NC(S)=NN=Cc1cccc(Cl)c1Cl,1.1.4
CN=C(S)N1CCC(c2cccc(Br)c2)=N1,1.2
O=C1C(=O)N(C(=O)OCc2ccccc2)c2ccccc21,1.2
O=C1Nc2ccccc2C1=O,1.4
Cc1ccc2c(c1)C(=O)C(=O)N2,1.4
O=C1C(=O)N(S(=O)(=O)c2ccccc2)c2ccccc21,1.2
Cc1ccc(C)c(CN2C(=O)C(=O)c3cc(C)ccc32)c1,1.2
Cc1ccc2[nH]c(O)c(N=NC(=N)S)c2c1,2.0
O=C1C(=O)N(c2ccccc2)c2ccccc21,1.2
O=C1C(=O)N(C(=O)OCc2ccccc2)c2ccc(Cl)cc21,1.2
O=C1C(=O)N(C(=O)OCc2ccccc2)c2ccc(F)cc21,1.2
O=C1C(=O)N(Cc2ccccc2)c2ccccc21,1.2
O=C1Nc2ccc(Br)cc2C1=O,1.4
NC(=S)N=Nc1c(O)[nH]c2ccc([N+](=O)[O-])cc12,4.0
O=C1Nc2ccc(F)cc2C1=O,1.4
Cc1cc(C)c2c(c1)C(=O)C(=O)N2,1.2
COc1cccc(CN2C(=O)C(=O)c3cc(Cl)ccc32)c1,1.2
O=C1Nc2ccc(Cl)cc2C1=O,1.4
O=C1C(=O)N(Cc2ccc(Cl)cc2)c2ccc(Cl)cc21,1.2
Cc1cc(C)c2[nH]c(O)c(N=NC(=N)S)c2c1,2.0
